,0
0,1.062325119972229
1,1.0088618993759155
2,0.9711488485336304
3,0.9430847764015198
4,0.9218955039978027
5,0.9011690020561218
6,0.8765814900398254
7,0.8499876260757446
8,0.8248146176338196
9,0.802448034286499
10,0.7833304405212402
11,0.7673999071121216
12,0.754651665687561
13,0.7447879314422607
14,0.7372140288352966
15,0.7312527894973755
16,0.7263221144676208
17,0.7220295071601868
18,0.718180239200592
19,0.7147089242935181
20,0.7116022706031799
21,0.7088499665260315
22,0.7064316272735596
23,0.7043200731277466
24,0.7024845480918884
25,0.7009041905403137
26,0.6995585560798645
27,0.6985092759132385
28,0.6979164481163025
29,0.6981229186058044
30,0.6983648538589478
31,0.6975793242454529
32,0.6960783004760742
33,0.6947958469390869
34,0.6937274932861328
35,0.6928750872612
36,0.6920607686042786
37,0.6913022994995117
38,0.6905167698860168
39,0.6897813081741333
40,0.6891003251075745
41,0.6886546611785889
42,0.6884796619415283
43,0.6885907649993896
44,0.688335120677948
45,0.6875234842300415
46,0.685657799243927
47,0.6837199330329895
48,0.681617796421051
49,0.6799039244651794
50,0.6783644556999207
51,0.6771467328071594
52,0.676074206829071
53,0.6752279996871948
54,0.6744677424430847
55,0.6738680005073547
56,0.6733115911483765
57,0.6728665828704834
58,0.6724371314048767
59,0.6720812320709229
60,0.671723484992981
61,0.6714103817939758
62,0.6710841059684753
63,0.6707819700241089
64,0.6704587936401367
65,0.6701455116271973
66,0.6698054671287537
67,0.6694666147232056
68,0.6690962910652161
69,0.668723464012146
70,0.6683158874511719
71,0.6679079532623291
72,0.6674644947052002
73,0.6670299172401428
74,0.6665630340576172
75,0.6661227345466614
76,0.6656573414802551
77,0.6652429699897766
78,0.6648070216178894
79,0.6644400358200073
80,0.6640291213989258
81,0.663675844669342
82,0.6632194519042969
83,0.6627954244613647
84,0.6622355580329895
85,0.6617330312728882
86,0.6611481308937073
87,0.6606886386871338
88,0.6602261662483215
89,0.6599204540252686
90,0.6596089601516724
91,0.6593856811523438
92,0.6590571999549866
93,0.6587351560592651
94,0.6582801342010498
95,0.6578386425971985
96,0.6573216319084167
97,0.6568364500999451
98,0.6563243865966797
99,0.6558444499969482
100,0.6553625464439392
101,0.6549069285392761
102,0.6544590592384338
103,0.6540307402610779
104,0.6536113023757935
105,0.6532055139541626
106,0.6528066992759705
107,0.6524175405502319
108,0.652033805847168
109,0.651659369468689
110,0.6512916088104248
111,0.650937557220459
112,0.6505952477455139
113,0.6502761840820312
114,0.6499777436256409
115,0.6497179865837097
116,0.6494905352592468
117,0.6493242383003235
118,0.6492065191268921
119,0.6491863131523132
