m2,Instance,Max Inst,Examples,Features,Iterations
,1,10,500,4,120
,0,10,500,4,120
,2,10,500,4,120
,3,10,500,4,120
,7,10,500,4,120
,4,10,500,4,120
,8,10,500,4,120
,5,10,500,4,120
,9,10,500,4,120
,6,10,500,4,120
